id,key,type,value
101741067,highway,regular,residential
101741069,natural,regular,water
101741073,highway,regular,secondary
101741073,maxspeed,regular,40
101741073,name,regular,Baroj Road
101741076,highway,regular,residential
101741080,highway,regular,residential
101741081,highway,regular,tertiary
101741081,name,regular,Jheel Road
101741084,highway,regular,residential
101741087,highway,regular,residential
101741094,highway,regular,residential
101741096,highway,regular,residential
101741097,highway,regular,tertiary
101741097,name,regular,Raicharan Pal Ln
101741100,highway,regular,residential
101741103,highway,regular,residential
101741103,name,regular,Nabin Krishna Ghoshal Road
101741109,highway,regular,residential
101741112,highway,regular,residential
101741123,highway,regular,residential
101741124,highway,regular,residential
101741124,name,regular,May Fair Road
101741128,highway,regular,residential
101741130,highway,regular,residential
101741130,name,regular,Kalipada Roy Lane
101741132,highway,regular,residential
101741134,highway,regular,residential
101741138,highway,regular,residential
101741142,highway,regular,residential
101741142,name,regular,Dilkhusa Street
101741144,highway,regular,residential
101741149,highway,regular,residential
101741150,highway,regular,secondary
101741150,maxspeed,regular,40
101741150,name,regular,Nasiruddin Road
101741150,oneway,regular,yes
101741155,highway,regular,secondary
101741155,name,regular,Garfa Main Road
101741170,highway,regular,residential
101741175,highway,regular,residential
101741179,highway,regular,residential
101741181,highway,regular,residential
101741183,highway,regular,residential
101741185,natural,regular,water
101741194,highway,regular,secondary
101741194,maxspeed,regular,40
101741194,name,regular,Kalkipur Road (Prince Anwar Shah Bypass Connector)
101741202,highway,regular,secondary
101741202,maxspeed,regular,40
101741206,highway,regular,residential
101741207,highway,regular,residential
101741219,highway,regular,residential
101741221,highway,regular,residential
101741229,highway,regular,tertiary
101741229,maxspeed,regular,40
101741229,name,regular,Swinhoe Lane
101741233,highway,regular,residential
101741241,highway,regular,residential
101741243,natural,regular,water
101741248,highway,regular,residential
101741252,highway,regular,residential
101741253,highway,regular,residential
101741256,highway,regular,residential
101741261,highway,regular,residential
101741261,name,regular,Radha Govinda Saha Lane
101741261,oneway,regular,no
101741267,highway,regular,residential
101741267,name,regular,Ustad Enayet Khan Ave
101741274,highway,regular,unclassified
101741274,maxspeed,regular,40
101741280,highway,regular,residential
101741282,highway,regular,residential
101741284,highway,regular,residential
101741285,highway,regular,residential
101741288,highway,regular,residential
101741292,highway,regular,tertiary
101741292,maxspeed,regular,40
101741293,highway,regular,residential
101741294,highway,regular,tertiary
101741294,oneway,regular,yes
101741299,highway,regular,residential
101741300,highway,regular,residential
101741301,highway,regular,residential
101741311,highway,regular,residential
101741311,name,regular,Russa Road South
101741312,highway,regular,tertiary
101741312,name,regular,Karaya Road
101741322,highway,regular,residential
101741324,highway,regular,residential
101741327,highway,regular,residential
101741330,highway,regular,residential
101741335,highway,regular,residential
101741341,highway,regular,residential
101741344,highway,regular,residential
101741345,highway,regular,residential
101741349,highway,regular,residential
101741361,highway,regular,residential
101741366,highway,regular,residential
101741367,highway,regular,residential
101741370,highway,regular,residential
101741373,highway,regular,residential
101741374,highway,regular,residential
101741376,highway,regular,residential
101741379,highway,regular,residential
101741380,highway,regular,residential
101741386,highway,regular,residential
101741386,name,regular,Jheel Road
101741392,highway,regular,residential
101741397,highway,regular,residential
101741401,highway,regular,residential
101741404,highway,regular,residential
101741412,highway,regular,tertiary
101741412,name,regular,Palm Avenue
101741414,highway,regular,tertiary
101741417,highway,regular,residential
101741419,highway,regular,residential
101741426,highway,regular,residential
101741441,highway,regular,residential
101741443,highway,regular,residential
101741459,highway,regular,tertiary
101741459,name,regular,Bright Street
101741460,highway,regular,residential
101741460,name,regular,Fazrul Haque Sarani
101741460,oneway,regular,no
101741462,highway,regular,residential
101741467,highway,regular,residential
101741468,highway,regular,residential
101741474,highway,regular,residential
101741479,highway,regular,residential
101741479,name,regular,Babu Bagan Lane
101741489,highway,regular,residential
101741500,highway,regular,residential
101741504,highway,regular,residential
101741505,highway,regular,residential
101741510,highway,regular,residential
101741515,highway,regular,residential
101741521,highway,regular,service
101741526,highway,regular,residential
101741533,highway,regular,residential
101741538,highway,regular,residential
101741539,highway,regular,residential
101741542,highway,regular,residential
101741546,highway,regular,residential
101741547,highway,regular,secondary
101741554,highway,regular,tertiary
101741554,name,regular,Sarat Ghosh Garden Road
101741559,highway,regular,residential
